OTUID	PL_1	PL_10	PL_11	PL_12	PL_13	PL_15	PL_16	PL_17	PL_18	PL_19	PL_2	PL_20	PL_21	PL_22	PL_24	PL_3	PL_4	PL_5	PL_6	PL_7	PL_8	PL_9	SUB_1	SUB_10	SUB_11	SUB_12	SUB_13	SUB_15	SUB_16	SUB_17	SUB_18	SUB_19	SUB_2	SUB_20	SUB_21	SUB_22	SUB_24	SUB_3	SUB_4	SUB_5	SUB_6	SUB_7	SUB_8	SUB_9	SUR_1	SUR_10	SUR_11	SUR_12	SUR_13	SUR_15	SUR_16	SUR_17	SUR_18	SUR_19	SUR_2	SUR_20	SUR_21	SUR_22	SUR_24	SUR_3	SUR_4	SUR_5	SUR_6	SUR_7	SUR_8	SUR_9
ASV_23	18	96	35	35	34	0	16	80	9	13	6	26	20	13	0	9	79	63	24	16	10	11	14	38	29	60	86	142	59	84	112	32	50	10	80	0	1	33	26	59	38	39	81	74	18	18	6	9	17	3	17	24	27	8	17	6	24	1	0	9	4	13	14	4	3	13
ASV_31	10	15	54	12	36	0	11	7	1	101	0	20	17	8	2	34	25	46	20	25	7	15	10	48	25	23	56	17	6	20	4	9	5	14	50	3	5	37	39	18	6	43	73	17	17	33	37	118	64	45	41	55	0	10	58	34	19	9	4	38	41	11	34	83	76	80
ASV_32	210	41	7	15	30	0	5	6	0	6	117	2	5	1	0	14	9	9	47	3	35	99	199	38	15	7	44	42	1	41	17	45	141	3	25	0	0	61	8	77	60	4	19	36	20	14	4	10	23	8	7	19	2	25	16	9	15	0	0	7	1	17	48	6	1	7
ASV_25	0	101	30	77	50	0	37	79	3	19	2	66	13	10	8	18	20	42	55	85	2	11	0	40	52	42	19	37	135	91	8	138	7	79	7	13	39	24	85	17	24	62	35	42	1	7	11	14	3	33	105	31	0	16	1	18	0	15	16	1	12	4	2	5	3	5
ASV_29	31	33	36	22	51	0	41	21	0	11	22	1	2	3	0	10	43	38	50	130	12	45	47	33	56	81	38	15	50	30	11	1	59	4	21	0	0	52	56	48	104	48	11	68	22	33	9	17	18	14	73	6	8	1	18	0	8	1	0	12	27	50	40	3	17	21
ASV_24	2	8	0	1	0	0	7	4	0	0	0	25	0	29	12	0	10	0	2	1	1	3	0	20	3	0	0	1	1	4	3	42	1	51	2	7	3	0	5	1	1	2	21	1	1	110	2	119	6	44	48	146	3	74	56	93	2	68	25	13	134	21	25	123	83	62
ASV_30	5	2	361	45	1	0	1	0	87	1	0	4	3	4	0	14	1	2	1	0	323	1	126	25	6	3	15	5	11	40	28	48	253	26	19	3	0	128	10	135	16	0	11	1	0	0	4	1	0	0	1	1	0	9	1	5	4	0	0	0	1	5	0	0	0	0
ASV_27	0	0	0	0	0	1364	0	0	59	0	0	0	0	35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_39	3	20	16	43	99	0	25	17	5	37	1	14	20	27	11	10	37	24	10	26	3	3	1	28	125	135	45	41	40	48	24	17	4	31	44	13	4	31	64	73	38	10	6	2	20	30	58	8	12	18	37	12	41	25	11	23	39	14	27	21	30	61	20	2	3	3
ASV_38	4	2	1	0	0	0	0	0	0	2	0	0	0	4	0	1	1	1	1	12	4	0	0	1	0	3	9	6	0	0	1	1	0	1	0	0	0	11	2	0	2	3	40	0	7	4	29	58	84	71	4	7	1	6	17	5	20	0	0	265	48	19	169	273	110	67
