sample_id	Site	Layer	Biome	longitude	latitude	AI	MAT	NDVI	SR	HF
PL_10	S10	PL	Alpine meadow	99.50231389	35.49283889	0.57	1.8	0.61	20	22.04
PL_11	S11	PL	Alpine meadow	98.16570556	38.57809167	0.32	-0.4	0.34	18	17.71
PL_12	S12	PL	Swamp meadow	98.27240556	38.3197	0.37	-1	0.44	20	17.53
PL_13	S13	PL	Swamp meadow	98.43796389	37.84548889	0.32	0.1	0.48	20	20.53
PL_15	S14	PL	Alpine meadow	91.85849444	33.25873611	0.39	-2.6	0.4	23	13.39
PL_16	S15	PL	Alpine meadow	91.86043333	32.58334444	0.52	-1.8	0.55	17	14.93
PL_17	S16	PL	Swamp meadow	91.98801667	32.961325	0.52	-2.1	0.26	27	12.22
PL_18	S17	PL	Alpine meadow	92.51825278	34.29519722	0.26	-3.5	0.22	17	11.64
PL_19	S18	PL	Alpine meadow	92.90681111	34.68533889	0.37	-3.7	0.35	21	18.09
PL_20	S19	PL	Alpine meadow	92.90680278	34.68653611	0.37	-3.7	0.41	21	18.09
PL_21	S20	PL	Alpine meadow	92.93986667	34.86235556	0.27	-3.9	0.39	18	18.35
PL_22	S21	PL	Alpine steppe	93.04473056	35.17694722	0.28	-4.5	0.19	20	16.04
PL_24	S22	PL	Alpine steppe	94.06586389	35.62498889	0.3	1.3	0.12	15	9.14
