OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_2793	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadia	Unassigned	Unassigned	uncultured_bacterium
ASV_2797	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	uncultured_bacterium
ASV_2833	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Unassigned
ASV_2843	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_bacterium
ASV_2858	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	uncultured_bacterium
ASV_2898	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_planctomycete
ASV_2919	Bacteria	Myxococcota	bacteriap25	bacteriap25	bacteriap25	bacteriap25	uncultured_bacterium
ASV_2959	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	KF-JG30-B3	KF-JG30-B3	uncultured_bacterium
ASV_2978	Bacteria	Elusimicrobiota	Lineage_IIa	Lineage_IIa	Lineage_IIa	Lineage_IIa	Unassigned
ASV_3106	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	Unassigned
ASV_4747	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	uncultured	metagenome
ASV_2481	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	uncultured_Hyphomicrobiaceae
ASV_2493	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	uncultured_Verrucomicrobia
ASV_2494	Bacteria	Proteobacteria	Gammaproteobacteria	CCD24	CCD24	CCD24	uncultured_bacterium
ASV_2523	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	uncultured_delta
ASV_2553	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured_eubacterium
ASV_2593	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter	uncultured_bacterium
ASV_2601	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	uncultured_bacterium
ASV_2609	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Candidatus_Anammoximicrobium	Unassigned
ASV_2691	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	uncultured_bacterium
ASV_2693	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	uncultured_bacterium
ASV_2696	Bacteria	Proteobacteria	Gammaproteobacteria	CCD24	CCD24	CCD24	Unassigned
ASV_2709	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Unassigned	uncultured_bacterium
ASV_2710	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7	Unassigned
