OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Bacteria	MBNT15	MBNT15	MBNT15	MBNT15	MBNT15	uncultured_bacterium
ASV_2	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter	Unassigned
ASV_3	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Oryzihumus	uncultured_Intrasporangiaceae
ASV_4	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	uncultured_Defluviicoccus
ASV_5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_vadinHA17	Bacteroidetes_vadinHA17	Unassigned
ASV_6	Bacteria	Chloroflexi	Gitt-GS-136	Gitt-GS-136	Gitt-GS-136	Gitt-GS-136	uncultured_bacterium
ASV_8	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	uncultured_bacterium
ASV_7	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_13	uncultured_bacterium
ASV_9	Bacteria	Actinobacteriota	WCHB1-81	WCHB1-81	WCHB1-81	WCHB1-81	uncultured_bacterium
ASV_10	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_sp.
ASV_11	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus	Trichococcus_pasteurii
ASV_13	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Thiobacillus	uncultured_bacterium
ASV_12	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	uncultured_bacterium
ASV_16	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	uncultured_bacterium
ASV_15	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter	uncultured_bacterium
ASV_14	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	Unassigned
ASV_18	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Unassigned
ASV_17	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Syntrophaceae	Syntrophus	uncultured_bacterium
ASV_19	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	uncultured_bacterium
ASV_22	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	uncultured_bacterium
ASV_20	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	uncultured_bacterium
ASV_26	Bacteria	Chloroflexi	Gitt-GS-136	Gitt-GS-136	Gitt-GS-136	Gitt-GS-136	uncultured_bacterium
ASV_21	Bacteria	Desulfobacterota	Desulfobaccia	Desulfobaccales	Desulfobaccaceae	Desulfobacca	uncultured_bacterium
ASV_23	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	GOUTA6	uncultured_bacterium
ASV_31	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	uncultured	uncultured_bacterium
ASV_32	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_vadinHA17	Bacteroidetes_vadinHA17	uncultured_bacterium
ASV_25	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	uncultured_actinobacterium
ASV_29	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	Unassigned
ASV_24	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_bacterium
ASV_30	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	uncultured_bacterium
ASV_27	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Thiobacillus	Unassigned
ASV_39	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	uncultured_bacterium
ASV_38	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	uncultured_bacterium
ASV_28	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	uncultured_bacterium
ASV_33	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	uncultured_bacterium
ASV_43	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Unassigned	Unassigned
ASV_34	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured_bacterium
ASV_35	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	uncultured_bacterium
ASV_36	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	uncultured	uncultured_bacterium
ASV_45	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	Unassigned
ASV_41	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	uncultured	Unassigned
ASV_42	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	uncultured_bacterium
ASV_37	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	uncultured	uncultured_Alphaproteobacteria
ASV_51	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	Sporosarcina_globispora
ASV_57	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	uncultured_bacterium
ASV_55	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	Unassigned
ASV_40	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured	uncultured_bacterium
ASV_46	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Unassigned	Unassigned
ASV_119	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7	uncultured_Thermaerobacter
ASV_44	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaeraceae	uncultured_archaeon
ASV_61	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaeraceae	uncultured_archaeon
ASV_54	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonadaceae	uncultured_bacterium
ASV_53	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	uncultured_bacterium
ASV_66	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	Unassigned
ASV_47	Bacteria	Caldisericota	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum	uncultured_bacterium
ASV_50	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	uncultured	uncultured_bacterium
ASV_65	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	uncultured_bacterium
ASV_52	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured_bacterium
ASV_48	Bacteria	Chloroflexi	Gitt-GS-136	Gitt-GS-136	Gitt-GS-136	Gitt-GS-136	uncultured_bacterium
ASV_49	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_citreus
ASV_59	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned
ASV_60	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	uncultured_bacterium
ASV_62	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured_bacterium
ASV_63	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	uncultured	uncultured_bacterium
ASV_56	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaeraceae	uncultured_crenarchaeote
ASV_72	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured_bacterium
ASV_58	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured	uncultured_bacterium
ASV_64	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacteraceae	uncultured_bacterium
ASV_85	Bacteria	Myxococcota	bacteriap25	bacteriap25	bacteriap25	bacteriap25	uncultured_bacterium
ASV_84	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	uncultured_bacterium
ASV_74	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	uncultured_Blastococcus
ASV_69	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	uncultured	uncultured	uncultured_bacterium
ASV_67	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	Unassigned
ASV_79	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Syntrophaceae	Syntrophus	Unassigned
ASV_73	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	Unassigned
ASV_71	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Unassigned	Unassigned
ASV_82	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	uncultured	uncultured_bacterium
ASV_68	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Rice_Cluster_II	Rice_Cluster_II	uncultured_archaeon
ASV_70	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Unassigned	uncultured_bacterium
ASV_80	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Sideroxydans	uncultured_soil
ASV_75	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Unassigned	uncultured_bacterium
ASV_81	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_vadinHA17	Bacteroidetes_vadinHA17	uncultured_bacterium
ASV_78	Bacteria	Acidobacteriota	Blastocatellia	11-24	11-24	11-24	Unassigned
ASV_76	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella	uncultured_Nakamurellaceae
ASV_92	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	TRA3-20	TRA3-20	uncultured_bacterium
ASV_95	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	uncultured	metagenome
ASV_93	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	uncultured	uncultured_bacterium
ASV_90	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	Unassigned
ASV_83	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	Unassigned
ASV_87	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	uncultured_bacterium
ASV_103	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	Rokubacteriales	Rokubacteriales	uncultured_bacterium
ASV_97	Bacteria	Actinobacteriota	Thermoleophilia	Unassigned	Unassigned	Unassigned	uncultured_bacterium
ASV_77	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Rice_Cluster_II	Rice_Cluster_II	Unassigned
ASV_86	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7	uncultured_bacterium
ASV_101	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_bacterium
ASV_115	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	uncultured_bacterium
ASV_126	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured_bacterium
ASV_91	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured_Gemmatimonadetes
ASV_100	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	uncultured_archaeon
ASV_109	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	uncultured_bacterium
ASV_94	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	uncultured_bacterium
ASV_89	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	uncultured_bacterium
ASV_99	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	uncultured_bacterium
ASV_88	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	uncultured_bacterium
ASV_107	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_bacterium
ASV_117	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	Unassigned
ASV_105	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group	uncultured_bacterium
ASV_96	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Unassigned
ASV_104	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Actinotalea	Unassigned
ASV_98	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	uncultured_bacterium
ASV_108	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	uncultured_Chloroflexi
ASV_114	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	uncultured_bacterium
ASV_112	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	uncultured	uncultured	uncultured_bacterium
ASV_116	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	uncultured_bacterium
ASV_129	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	Rokubacteriales	Rokubacteriales	uncultured_bacterium
ASV_111	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	uncultured_bacterium
ASV_110	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured_bacterium
ASV_125	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured_bacterium
ASV_130	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured_bacterium
ASV_106	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_sp.
ASV_102	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Rathayibacter_rathayi
ASV_141	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_sp.
ASV_156	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	IS-44	Unassigned
ASV_113	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_bacterium
ASV_166	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	Unassigned
ASV_155	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	Unassigned
ASV_118	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	Unassigned
ASV_120	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_agilis
ASV_135	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	GOUTA6	uncultured_bacterium
ASV_171	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	uncultured_bacterium
ASV_161	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	uncultured_bacterium
ASV_121	Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales	uncultured	uncultured	uncultured_bacterium
ASV_122	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	uncultured_beta
ASV_123	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Candidatus_Alysiosphaera	uncultured_Alphaproteobacteria
ASV_134	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured_bacterium
ASV_133	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	uncultured_bacterium
ASV_128	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	Unassigned
ASV_144	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured_Acidobacteria
ASV_127	Bacteria	Desulfobacterota	Desulfobaccia	Desulfobaccales	Desulfobaccaceae	Desulfobacca	uncultured_bacterium
ASV_147	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	966-1	uncultured_beta
ASV_146	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	uncultured_Anaerolineaceae
ASV_136	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	IS-44	uncultured_beta
ASV_143	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured_bacterium
ASV_137	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured_bacterium
ASV_124	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Gallionella	uncultured_bacterium
ASV_194	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured_bacterium
ASV_139	Bacteria	Nitrospirota	4-29-1	4-29-1	4-29-1	4-29-1	Unassigned
ASV_162	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	uncultured_bacterium
ASV_131	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter_cloacae
ASV_145	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfocapsa	Unassigned
ASV_181	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	uncultured_bacterium
ASV_150	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_mandelii
ASV_151	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	uncultured_bacterium
ASV_132	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Smithellaceae	Smithella	Unassigned
ASV_140	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_vadinHA17	Bacteroidetes_vadinHA17	uncultured_bacterium
ASV_196	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7	uncultured_bacterium
ASV_148	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Unassigned
ASV_142	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_stutzeri
ASV_168	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Actinotalea	Unassigned
ASV_157	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	uncultured_bacterium
ASV_217	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Marmoricola_sp.
ASV_158	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	uncultured	uncultured_bacterium
ASV_149	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	Unassigned
ASV_153	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_vadinHA17	Bacteroidetes_vadinHA17	Unassigned
ASV_170	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	Unassigned
ASV_193	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured_bacterium
ASV_195	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_bacterium
ASV_152	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	uncultured_bacterium
ASV_198	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	Unassigned
ASV_208	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_bacterium
ASV_176	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Psychrobacillus	Bacillus_sp.
ASV_159	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_bacterium
ASV_199	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	Unassigned
ASV_175	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup_17	Subgroup_17	Subgroup_17	Unassigned
ASV_172	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	Unassigned
ASV_160	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Unassigned
ASV_182	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	Unassigned
ASV_167	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	Unassigned
ASV_177	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured_bacterium
ASV_185	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	uncultured_bacterium
ASV_169	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	Bauldia	uncultured_bacterium
ASV_164	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	uncultured_bacterium
ASV_154	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	uncultured_bacterium
ASV_174	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured_bacterium
ASV_190	Bacteria	Actinobacteriota	Actinobacteria	0319-7L14	0319-7L14	0319-7L14	Unassigned
ASV_184	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	uncultured_bacterium
ASV_163	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	uncultured_bacterium
ASV_207	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured_bacterium
ASV_209	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	uncultured_bacterium
ASV_180	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	uncultured_bacterium
ASV_188	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_bacterium
ASV_165	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	uncultured_Pseudonocardia
ASV_179	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned
ASV_192	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured_bacterium
ASV_219	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	uncultured_bacterium
ASV_200	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	Unassigned
ASV_173	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	Unassigned
ASV_187	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unassigned
ASV_189	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Thiobacillus	uncultured_bacterium
ASV_216	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	uncultured_bacterium
ASV_252	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	uncultured_Comamonadaceae
ASV_178	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	uncultured_archaeon
ASV_186	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Unassigned
ASV_205	Bacteria	Actinobacteriota	Thermoleophilia	uncultured	uncultured	uncultured	uncultured_bacterium
ASV_183	Bacteria	Actinobacteriota	WCHB1-81	WCHB1-81	WCHB1-81	WCHB1-81	uncultured_bacterium
ASV_202	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	uncultured_bacterium
ASV_221	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	Unassigned
ASV_203	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	uncultured_actinobacterium
ASV_191	Bacteria	Bacteroidota	Kryptonia	Kryptoniales	BSV26	BSV26	uncultured_bacterium
ASV_226	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	uncultured_bacterium
ASV_213	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Polaromonas_sp.
ASV_206	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	uncultured_actinobacterium
ASV_210	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	GOUTA6	uncultured_bacterium
ASV_220	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	Unassigned
ASV_204	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7	uncultured_bacterium
ASV_233	Bacteria	Chloroflexi	Gitt-GS-136	Gitt-GS-136	Gitt-GS-136	Gitt-GS-136	uncultured_bacterium
ASV_201	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	Unassigned
ASV_197	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Propionivibrio	uncultured_bacterium
ASV_214	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	uncultured	metagenome
ASV_211	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	uncultured_bacterium
