OTUID	PL_1	PL_10	PL_11	PL_12	PL_13	PL_15	PL_16	PL_17	PL_18	PL_19	PL_2	PL_20	PL_21	PL_22	PL_24	PL_3	PL_4	PL_5	PL_6	PL_7	PL_8	PL_9	SUB_1	SUB_10	SUB_11	SUB_12	SUB_13	SUB_15	SUB_16	SUB_17	SUB_18	SUB_19	SUB_2	SUB_20	SUB_21	SUB_22	SUB_24	SUB_3	SUB_4	SUB_5	SUB_6	SUB_7	SUB_8	SUB_9	SUR_1	SUR_10	SUR_11	SUR_12	SUR_13	SUR_15	SUR_16	SUR_17	SUR_18	SUR_19	SUR_2	SUR_20	SUR_21	SUR_22	SUR_24	SUR_3	SUR_4	SUR_5	SUR_6	SUR_7	SUR_8	SUR_9
ASV_20	531	167	51	31	48	0	30	48	17	62	55	17	46	405	0	420	72	182	704	12	197	105	88	106	94	47	49	120	35	100	6	0	222	0	107	0	0	183	127	17	259	18	89	171	0	12	0	1	2	4	29	21	0	1	1	0	8	0	0	0	3	2	12	0	0	3
ASV_26	1	35	128	228	94	0	86	87	9	35	3	80	79	36	127	12	156	198	143	644	2	1	0	25	149	161	12	28	70	149	24	183	3	220	25	100	65	0	171	50	3	14	1	0	0	37	7	15	17	28	71	49	5	55	5	66	0	74	572	8	142	28	2	4	12	5
ASV_21	171	89	151	62	65	0	8	17	43	114	12	3	15	22	0	330	50	53	112	8	128	63	50	173	191	104	166	234	34	191	79	0	283	0	96	0	0	621	133	59	229	17	191	42	27	14	8	17	83	5	6	18	28	0	6	0	18	0	0	51	9	63	32	1	0	14
ASV_23	60	162	66	63	46	0	16	81	32	21	8	40	21	30	0	82	133	140	65	41	26	15	19	82	67	69	166	388	110	183	305	56	145	19	203	0	10	102	115	70	98	42	217	205	24	54	9	26	60	7	39	72	45	18	39	12	90	1	0	37	20	31	26	9	12	25
ASV_31	46	22	92	20	48	0	11	8	1	155	0	34	20	16	2	163	34	115	64	50	21	20	12	72	51	28	128	51	14	46	19	32	10	40	148	3	15	101	156	24	16	43	187	52	30	74	46	227	178	92	97	142	4	20	161	84	37	25	12	121	157	23	57	236	262	138
ASV_32	939	82	14	28	43	0	5	6	0	12	187	8	7	1	1	52	11	40	110	7	67	119	265	64	36	9	76	125	8	118	44	83	383	7	46	0	0	250	27	117	166	4	52	118	29	31	5	16	64	11	19	61	3	48	29	23	38	0	0	38	19	36	65	12	8	9
ASV_25	3	187	74	120	65	0	37	83	6	29	3	97	16	14	10	69	33	84	113	240	9	13	0	75	124	52	44	99	236	220	13	265	20	189	13	17	93	70	340	25	58	65	87	111	1	13	17	33	13	59	230	88	1	36	4	64	3	39	52	10	45	6	5	15	12	22
ASV_29	109	57	66	34	62	0	41	22	0	20	33	1	3	3	0	59	73	96	138	363	22	51	57	64	140	97	66	52	112	58	26	2	141	7	53	0	0	158	299	56	231	51	30	184	37	81	11	33	64	24	211	24	11	5	39	1	22	3	0	36	122	117	52	9	35	37
ASV_24	10	14	0	3	0	0	7	4	0	0	1	38	0	50	13	2	14	0	3	5	3	3	0	36	4	2	2	5	1	13	11	84	2	147	6	8	7	0	22	1	2	2	53	3	1	263	3	257	11	85	123	361	3	171	141	238	3	154	135	48	581	50	42	303	278	128
ASV_30	24	5	731	77	3	0	1	0	215	1	0	5	4	5	0	60	2	7	6	0	663	1	163	43	18	3	35	10	20	102	81	95	693	53	57	4	0	393	28	171	48	0	30	1	0	0	4	1	0	1	5	2	1	14	4	10	6	0	0	4	5	8	0	0	2	1
ASV_27	0	0	0	0	0	3508	0	0	162	0	1	1	0	60	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_39	29	32	28	69	124	0	25	20	24	45	3	20	22	48	14	35	63	57	21	62	7	4	2	50	311	176	75	112	58	109	52	48	11	58	104	17	19	88	255	93	90	11	17	8	26	72	86	11	43	25	70	18	67	70	30	53	92	33	109	49	129	153	27	3	13	4
ASV_38	29	2	3	0	0	0	0	0	1	2	0	0	0	11	0	7	3	2	2	34	4	0	1	4	3	3	18	14	0	0	5	2	0	1	0	0	0	49	9	0	5	3	105	0	16	11	41	113	297	141	11	26	2	10	52	13	47	0	1	776	183	55	282	808	326	139
ASV_28	50	27	2	0	1	0	0	1	76	0	0	6	6	554	12	2	9	0	2	1	1	0	1	33	8	0	17	15	5	6	5	19	1	10	14	5	5	13	14	3	4	0	4	1	88	149	42	100	363	152	48	171	42	141	34	69	255	122	39	322	217	65	23	198	43	32
ASV_33	0	3	1	2	10	0	1	1	2	2	0	6	5	51	0	11	4	0	1	2	0	1	0	4	14	2	83	9	0	1	15	11	0	5	11	0	0	15	9	0	2	1	12	0	1	11	127	130	979	81	4	46	29	107	0	121	233	0	0	468	196	100	131	379	96	67
ASV_43	44	12	3	7	0	0	11	0	0	0	0	1	0	74	1	6	7	3	21	5	11	5	0	75	3	37	1	53	0	19	0	0	9	0	0	1	6	46	36	0	26	11	507	35	29	133	5	124	7	53	128	42	0	0	296	0	0	0	0	82	135	21	179	308	490	402
ASV_34	18	54	8	73	27	0	17	32	2	40	6	27	1	70	2	25	35	55	35	12	4	10	2	92	57	58	28	142	127	158	2	53	105	63	5	9	17	17	195	13	37	56	142	68	6	101	3	127	15	77	283	131	0	5	156	12	0	4	4	59	74	41	38	96	153	122
ASV_35	86	17	1	11	2	0	5	6	12	20	0	23	5	41	16	20	10	1	11	2	1	0	5	50	18	55	33	49	9	31	33	28	5	21	7	2	44	12	38	4	5	9	9	4	101	192	50	101	312	96	59	199	72	97	86	108	140	182	185	163	155	102	76	94	72	46
ASV_36	7	7	4	29	6	0	41	10	0	9	3	63	13	4	37	10	41	24	8	3	22	10	0	71	8	34	35	63	64	51	12	27	12	77	60	26	53	30	120	34	26	23	140	22	8	159	9	145	30	55	286	231	2	43	98	114	7	39	31	80	192	53	35	115	175	83
ASV_45	42	14	270	17	4	0	1	0	43	1	0	3	4	0	0	18	3	13	2	2	5	0	70	71	10	4	43	38	31	264	634	83	220	21	211	5	0	127	11	214	42	2	376	2	19	18	4	3	47	12	19	41	24	25	26	6	29	5	0	15	18	9	13	15	10	15
ASV_41	4	43	77	107	152	0	33	108	13	27	1	95	13	9	15	50	27	75	0	293	9	2	0	19	131	44	75	82	139	173	1	85	13	95	18	73	204	48	241	240	6	69	50	6	0	7	4	17	2	23	49	85	0	11	2	22	0	9	12	5	21	8	2	0	2	10
ASV_42	14	29	17	46	19	0	18	14	0	9	2	10	3	10	14	13	31	37	38	55	8	15	6	72	74	44	30	39	42	74	8	117	26	213	45	27	19	85	481	43	48	34	18	72	28	160	30	36	48	60	113	46	3	63	39	57	6	31	19	64	166	108	37	14	45	39
ASV_37	4	6	13	5	24	0	14	10	0	26	0	72	5	7	1	7	60	22	2	6	7	7	0	44	67	15	48	41	31	28	10	103	3	188	83	62	143	33	141	7	2	33	99	8	10	100	37	148	70	66	75	191	0	60	69	110	3	41	0	71	307	57	14	97	104	85
ASV_51	58	28	16	7	8	0	2	3	0	33	1	12	15	56	21	49	4	24	11	8	5	1	7	27	11	9	17	51	0	2	43	94	3	61	20	11	15	70	455	12	7	12	46	3	17	36	4	34	99	29	38	71	19	182	18	50	359	24	117	45	421	131	11	63	44	25
ASV_57	0	12	16	43	61	0	13	7	27	16	1	26	37	32	37	25	20	80	71	395	5	0	0	20	110	62	124	49	27	84	41	80	0	154	98	24	54	84	622	35	1	46	16	3	0	25	15	34	7	25	29	24	0	50	0	16	2	16	89	8	87	26	3	3	6	18
ASV_55	9	39	8	94	17	0	12	36	18	5	1	49	8	44	22	15	29	43	26	51	4	2	3	48	107	36	60	119	60	93	26	53	4	105	48	9	58	72	201	14	4	22	97	6	18	44	44	60	72	51	145	94	44	38	29	52	45	72	69	51	139	85	17	66	72	45
ASV_40	47	56	14	89	23	0	20	26	23	13	1	11	8	44	0	162	14	77	19	4	35	18	24	121	23	44	94	199	73	256	48	38	81	21	46	2	0	222	111	210	103	32	227	114	14	20	6	31	16	11	35	41	11	9	3	2	30	0	0	32	6	31	20	1	3	12
ASV_46	75	55	14	15	20	1	9	9	65	8	3	2	14	14	0	44	27	13	12	1	7	20	70	105	188	35	44	108	81	145	143	12	217	5	188	3	4	81	269	60	90	29	29	311	8	93	33	7	5	15	14	6	92	5	3	4	81	9	5	4	0	22	3	1	7	11
ASV_119	137	166	41	41	17	0	16	36	18	37	20	0	2	2	0	59	63	46	58	64	44	74	51	93	40	31	51	67	90	109	12	2	209	1	35	0	0	31	103	37	73	34	183	227	49	42	0	52	29	16	111	63	3	9	41	5	13	0	0	13	16	9	28	21	19	40
ASV_44	2	22	13	93	11	0	36	14	9	6	0	4	5	3	66	2	28	146	12	13	1	1	0	32	7	4	8	7	58	83	52	9	4	4	6	27	47	4	25	4	0	13	1	3	2	94	14	69	80	50	71	79	8	160	144	193	3	114	333	10	358	75	7	27	53	147
ASV_61	28	8	34	13	22	0	54	1	0	22	0	15	4	5	18	40	11	190	29	18	4	2	1	11	2	1	15	2	0	16	34	33	0	69	33	30	27	10	37	4	4	9	8	5	1	26	25	178	47	113	64	68	4	144	57	438	5	21	68	96	358	27	23	37	200	79
ASV_54	482	13	48	23	20	0	3	19	174	129	118	12	48	146	4	248	69	47	116	4	99	146	31	13	127	12	22	33	20	34	31	55	51	42	45	0	7	78	7	42	91	3	3	14	0	8	2	0	14	0	0	3	14	19	3	10	58	3	42	6	3	8	1	0	1	0
ASV_53	4	129	80	176	98	0	40	105	42	127	4	29	15	8	0	55	17	200	344	199	34	27	3	85	49	67	21	79	97	149	2	10	48	5	0	2	25	39	51	41	76	3	72	81	0	20	2	6	0	11	67	15	0	5	13	0	0	6	0	8	3	0	13	0	6	10
ASV_66	67	33	89	44	36	0	29	43	0	3	20	0	20	6	5	571	273	219	145	44	91	95	3	61	29	40	30	27	16	62	0	0	56	2	64	0	0	137	51	29	244	7	10	58	0	1	1	0	4	4	12	5	0	3	3	3	3	2	21	4	0	12	1	0	0	1
ASV_47	1134	6	12	2	0	0	0	2	0	0	16	0	5	0	0	56	9	45	543	0	450	511	6	0	1	0	0	0	0	0	0	0	12	0	0	1	0	3	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_50	10	9	4	10	2	0	1	3	0	3	0	36	1	7	16	32	27	4	2	5	7	4	0	14	8	1	14	131	0	6	1	4	0	3	0	9	29	13	2	2	6	1	26	0	14	73	27	142	102	127	15	181	0	63	117	99	0	74	21	326	169	79	102	315	186	106
ASV_65	27	53	29	37	32	0	25	28	5	10	2	12	4	8	7	10	18	57	73	98	7	4	3	69	130	66	24	67	24	77	12	28	32	37	29	11	8	2	152	32	35	16	10	42	46	156	86	42	21	51	89	24	10	30	76	28	8	7	22	74	214	204	29	11	66	41
ASV_52	35	5	5	7	4	0	13	5	21	7	1	67	55	9	22	16	25	3	8	3	18	6	0	9	10	1	14	25	3	6	36	6	2	6	24	50	75	10	5	1	1	1	2	0	47	72	19	64	157	68	24	123	142	89	30	70	537	146	14	151	82	35	63	126	60	42
ASV_48	1	34	123	35	1	0	156	321	11	28	13	96	44	12	0	3	41	467	685	664	1	1	0	1	0	0	0	0	0	2	0	0	22	0	0	0	3	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_49	12	0	3	0	0	0	1	0	0	26	0	1	1860	0	4	209	0	1	13	0	1	1	2	0	5	0	11	0	0	0	0	3	0	0	0	0	3	9	20	0	0	0	15	0	137	3	0	1	15	3	0	4	0	19	27	3	0	5	47	9	148	11	1	3	72	0
ASV_59	290	221	15	24	43	0	4	2	0	31	3	9	85	0	41	158	9	81	131	26	48	15	35	35	22	2	21	9	0	3	15	53	15	7	5	9	4	56	28	5	27	22	8	2	48	29	41	18	90	8	15	17	14	31	66	19	105	27	155	18	26	21	78	151	76	19
ASV_60	2	195	211	104	179	0	32	130	28	22	2	27	108	78	0	9	11	50	88	189	0	1	0	71	105	68	60	143	94	244	0	18	15	24	0	4	20	11	88	10	26	15	35	17	0	5	1	6	0	15	59	18	0	1	0	1	0	1	2	0	6	1	1	0	0	3
ASV_62	301	29	92	3	0	0	0	6	0	1	3	0	6	0	0	1285	159	9	140	1	36	23	66	7	12	0	2	11	0	39	0	0	116	0	2	0	0	49	9	1	224	2	1	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_63	29	7	14	11	26	0	7	7	0	19	1	62	8	4	12	14	43	25	5	9	11	5	4	24	53	6	48	54	6	19	90	31	3	66	56	53	127	7	44	7	3	9	64	12	73	84	40	42	125	55	27	129	110	81	32	57	80	81	18	77	117	101	25	71	47	33
ASV_56	0	0	24	0	5	0	59	0	0	7	0	20	1	0	73	6	3	85	1	0	0	0	0	0	0	0	2	0	0	0	15	22	0	10	0	816	1083	0	1	7	0	0	0	0	0	0	0	4	0	0	1	0	0	133	1	38	0	81	56	0	2	0	0	0	0	0
ASV_72	1	107	4	123	26	0	12	52	5	53	1	20	2	22	7	44	17	44	116	53	5	3	0	55	16	133	15	161	157	152	4	69	11	130	0	5	4	30	135	11	35	59	114	19	0	24	0	14	2	9	115	41	0	4	13	7	0	48	32	5	58	3	11	26	22	24
ASV_58	17	21	17	39	34	0	3	10	21	38	2	7	57	15	0	133	23	27	19	1	12	10	14	54	9	22	109	212	16	60	41	21	64	6	371	0	0	119	54	55	38	43	102	49	4	31	3	54	48	23	27	37	10	18	6	8	47	0	0	82	22	36	21	14	5	16
ASV_64	29	14	5	2	2	0	3	0	0	2	0	23	2	12	0	4	13	6	8	1	1	5	1	26	13	13	3	54	1	14	6	13	0	3	19	1	5	8	23	2	1	2	32	1	42	137	67	10	296	59	28	52	61	158	34	100	43	33	1	109	183	294	83	121	88	53
ASV_85	10	6	6	23	23	0	15	21	16	5	2	29	8	35	11	6	23	19	16	13	7	8	0	29	23	30	24	60	61	36	15	21	11	41	20	43	69	21	115	11	2	46	86	11	17	64	22	94	38	70	103	105	5	29	138	82	18	42	6	84	89	43	36	85	77	85
ASV_84	40	60	11	59	53	0	30	31	0	5	3	5	7	2	12	31	49	70	92	127	8	7	7	109	115	98	20	20	109	88	8	27	61	67	24	10	26	15	167	33	67	7	18	50	9	59	18	3	12	14	69	27	1	47	25	35	11	23	51	15	42	54	10	2	12	9
ASV_74	10	8	1	0	2	0	15	2	0	1	0	12	2	153	13	7	28	0	1	1	0	0	1	22	10	4	18	95	7	14	3	27	2	12	36	4	34	39	80	2	0	2	5	0	12	47	11	34	72	66	104	153	17	114	36	158	20	196	250	80	266	8	6	45	15	6
ASV_69	0	2	11	6	11	0	5	2	0	42	0	29	14	0	27	2	11	42	10	10	4	4	0	14	57	18	49	39	5	7	58	81	0	82	94	36	172	4	87	13	1	22	55	4	0	41	41	77	54	59	30	78	46	32	15	73	12	74	76	55	147	52	12	84	110	60
ASV_67	4	130	9	148	56	0	61	137	1	36	2	121	3	2	2	17	16	60	3	240	6	6	2	23	23	5	15	3	178	119	1	141	73	121	6	62	196	2	61	81	14	1	5	112	0	0	1	0	1	0	5	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0
ASV_79	121	18	22	23	18	0	2	5	19	10	9	3	35	3	0	311	35	195	108	2	61	40	93	45	23	9	69	100	18	60	36	1	163	0	107	0	0	153	7	63	83	5	47	38	5	2	1	2	34	3	0	4	5	7	2	0	11	0	0	24	2	7	10	0	2	1
ASV_73	28	44	9	15	8	0	8	11	0	38	1	8	7	2	1	18	3	18	20	13	7	10	1	76	45	32	32	128	74	71	21	7	31	14	64	0	9	145	137	6	49	27	150	104	20	49	6	37	35	30	108	102	10	7	45	11	15	0	3	34	62	41	47	25	43	49
ASV_71	76	2	54	2	2	4	6	4	23	58	22	25	23	450	15	107	30	22	17	0	18	6	6	14	54	1	4	13	20	22	16	20	63	91	18	1	11	112	10	5	30	0	3	3	42	24	6	3	25	13	2	23	15	91	30	36	230	7	45	37	64	49	4	3	22	8
ASV_82	26	16	20	19	7	0	6	6	0	44	0	29	2	7	3	52	14	37	35	19	8	13	8	45	10	8	26	29	2	17	39	14	32	20	14	5	34	56	48	9	11	18	88	15	21	76	4	114	43	27	30	68	17	19	110	12	6	12	4	109	131	47	59	184	137	80
ASV_68	1000	0	17	1	0	0	0	0	0	0	50	0	0	2	0	105	53	0	24	3	61	83	141	4	6	0	0	0	0	0	0	0	91	0	0	0	0	84	8	0	415	2	6	28	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0
ASV_70	0	0	0	0	0	1906	1	0	218	1	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_80	48	34	38	20	13	0	1	23	4	4	5	1	7	4	0	72	31	26	7	8	9	12	45	40	43	17	74	146	7	77	7	2	333	0	53	0	0	202	53	86	173	11	128	265	1	2	1	1	1	1	7	9	1	6	2	0	0	0	0	2	0	5	2	0	1	0
ASV_75	95	9	3	6	0	0	0	4	0	0	0	0	0	28	0	1	5	4	5	2	1	3	5	38	0	0	2	1	0	9	0	0	2	0	0	0	0	2	4	1	1	2	39	5	46	105	1	113	48	11	3	55	0	0	384	0	0	0	0	69	158	79	172	291	204	146
ASV_81	8	30	11	55	54	0	17	12	9	30	45	6	26	4	2	25	29	59	55	14	46	26	2	24	15	15	122	194	26	85	73	5	10	2	56	0	0	99	39	199	23	26	111	32	1	25	2	18	75	18	28	45	3	7	9	2	24	0	0	48	11	47	16	8	8	11
ASV_78	0	5	9	40	3	0	17	11	19	2	1	8	0	1	0	2	10	6	8	48	19	45	5	18	7	87	12	3	188	62	0	11	22	39	3	12	1	2	130	7	18	249	41	669	4	7	1	12	1	11	128	4	0	2	8	16	0	0	0	2	25	2	5	3	29	22
ASV_76	145	21	6	6	0	30	1	2	10	3	1	0	6	96	3	5	4	6	14	1	2	2	13	77	7	42	19	289	8	27	48	1	53	0	106	0	0	22	52	5	46	24	129	45	98	100	11	33	22	15	37	21	2	6	75	0	30	2	2	20	32	73	60	14	21	38
