Genomic bins	SUB_2	SUB_3	SUB_1	SUB_6	SUB_7	SUB_4	SUB_5	SUR_21	SUR_20	SUB_8	SUB_9	SUR_24	PL_15	SUR_3	PL_17	PL_16	PL_11	SUR_7	SUR_4	PL_12	SUR_8	SUR_9	PL_19	PL_18	PL_5	PL_4	PL_7	PL_6	PL_1	PL_3	PL_2	PL_9	PL_8	SUR_22	SUR_15	SUR_16	SUR_17	SUR_10	SUR_11	SUR_12	SUR_13	SUB_21	SUB_20	SUB_22	SUR_18	SUB_24	SUR_19	SUR_1	SUR_6	PL_10	PL_13	PL_24	SUR_5	PL_20	PL_21	PL_22	SUR_2	SUB_15	SUB_16	SUB_17	SUB_10	SUB_11	SUB_12	SUB_13	SUB_18	SUB_19
s_PL_18_11	0.897482	5.352772	1.0087139999999999	1.1079805	0.0	1.3712469999999999	11.732087	1.4242195	1.253638	0.560727	0.0	0.0	1.019393	0.4794295	1.221235	0.343237	6.8871075	0.0	0.0	5.989792	0.0	0.0	4.23802	23.258293	1.373575	4.678339	0.265232	0.448579	0.99315	6.081447	0.32310150000000004	3.1666195	12.995987	0.0	0.0	0.0	0.542231	0.0	8.842961	0.0	1.647409	3.709709	2.583184	0.0	6.071578	1.369292	4.179878	0.0	0.0	0.8019135	11.614547	4.6646315000000005	1.3145445	6.188851	2.390597	3.253644	0.0	2.919582	0.670392	4.9449545	1.5577315	8.3871495	3.1068375	8.271603	13.615412500000001	11.188813
s_PL_6_7	1.324881	0.3601	0.443788	2.7856575	0.0	0.284276	1.492634	2.8264345	0.915984	0.0	0.11603450000000001	0.0	11.227509	0.0	2.7473815	4.400875	2.093718	0.0	0.0	1.7048865000000002	0.0	0.0	4.1567025	1.937785	6.852261	2.2162185	0.12104100000000001	12.8344405	5.687648	1.251597	9.781336	1.634226	6.862402	0.0	0.0	0.285836	0.24522850000000002	0.0	0.8260325	0.0	0.384443	4.108392	0.0	0.0	4.070109	0.0	6.8473085000000005	0.0	0.0	4.831656499999999	1.746323	0.0	0.483489	1.291861	2.612133	0.0	0.0	1.8426705	0.594482	1.157154	0.827563	3.273054	2.797302	1.232353	4.226334	2.670617
s_SUB_9_1	32.869049	1.209482	16.515757	20.534086	2.88169	3.283169	7.330672	1.189437	2.206323	2.779304	56.456518	2.40845	1.603232	0.653359	5.851828	6.325172	2.314058	0.630956	1.088808	7.81195	0.766914	1.389254	1.993252	2.290272	2.693812	2.892529	6.713201	1.840158	4.081245	5.297348	2.430166	5.057539	3.574355	2.538895	1.52559	2.323589	3.558213	2.20388	1.969334	0.934341	1.350664	1.805759	5.763808	10.336904	1.389942	9.643499	1.745142	2.823512	1.677476	16.971327	6.706435	6.132739	1.080384	6.608512	1.504811	2.054546	2.395422	5.134921	9.114055	8.86984	27.404791	3.800687	7.059533	2.260677	1.419958	4.816143
s_SUB_20_9	2.50639	0.75948	1.075035	1.111585	1.961234	9.406983	8.170821	1.911431	18.165903	1.594715	2.29431	11.402116	6.061177	1.1981	10.15602	15.771234	3.679992	1.422603	3.507688	17.20182	1.718681	1.590406	9.446879	3.524291	15.503923	3.121569	15.856312	12.778857	0.850886	0.643568	0.414766	0.390078	0.371638	22.721997	2.466995	5.562764	4.042857	4.498644	2.536851	2.738927	2.122671	6.719487	106.115277	37.198468	3.070377	21.01211	21.140891	2.233352	1.177056	21.749887	10.588445	9.425344	2.645182	33.713337	18.884183	7.360866	2.173347	1.663172	13.703984	4.735962	5.076339	5.125693	2.362302	2.639691	6.182995	158.645288
s_SUB_5_9	0.317289	0.067517	0.216028	0.144015	4.245458	8.856989	23.682241	4.932595	8.84559	0.803998	0.490786	1.200529	1.274242	1.733517	1.291702	1.330756	1.083132	2.193376	3.091808	2.255068	2.316741	2.0298	1.316128	1.561507	1.037806	4.111054	0.532392	0.14078400000000002	0.120604	0.168898	0.029907	0.257108	0.319042	7.659695	3.681514	3.389143	3.046675	4.664753	6.433031	4.252234	4.504063	8.533336	5.386929	20.823161	3.814218	13.156321	7.156886	0.4768985	0.7270935000000001	0.250325	3.877153	3.159986	3.631244	7.302761	1.388954	2.119567	0.603402	2.689357	1.651853	1.395179	1.12311	1.161143	7.220764	3.534497	5.47154	3.253885
s_SUR_16_9	3.325698	5.592571	3.734807	6.245458	6.794019	5.524155	1.643693	3.471666	4.305013499999999	37.206073	7.599785	3.588687	2.892539	20.390959	2.754114	4.986553	4.228824	41.470722	30.408971	3.691567	69.461961	81.145886	2.577501	1.523685	2.352219	5.499055	2.57291	5.445475	9.458226	1.413893	0.855611	5.662222	2.648934	4.856411	12.105361	25.436813	16.508222	41.009891	7.458436	34.944883	10.625243	2.012077	2.377639	4.200993	4.058373	4.4475125	4.09411	33.089508	55.591057	3.607549	1.666526	3.6896245	23.437985	3.229943	1.020422	1.798369	60.880356	5.999154	2.48869	3.335021	18.67024	2.040807	8.657792	2.189068	1.915626	2.1824054999999998
s_SUB_19_1	0.346904	0.291136	0.271827	0.215681	0.431194	0.717703	1.751323	1.052076	8.447708	0.456408	0.414295	29.391648	1.010444	0.498673	1.013375	1.775408	0.582538	0.480366	0.903556	4.217634	0.511856	0.560485	3.83164	1.811108	0.912256	0.961826	0.667241	2.215931	0.243539	0.130319	0.055341	0.09202	0.141533	17.028337999999998	0.674438	0.730266	0.951049	0.812352	1.261633	0.705288	1.036775	1.050682	31.755611	20.984095	1.904904	23.365668	11.607311	0.916676	0.380729	0.6244905000000001	2.013914	19.462733	0.901816	18.240234	2.595491	4.313401	0.692267	0.694603	1.103181	0.673956	0.549348	0.891948	0.429937	2.072934	4.539457	70.68826
s_PL_13_7	1.371818	0.537326	0.8328835	0.58743	2.040824	4.1543779999999995	8.865716	1.904571	3.89041	1.480976	1.120798	4.906457	2.331823	1.0683535	8.1182445	3.045	31.449671000000002	1.029452	1.586792	2.88101	1.225735	1.547893	2.853314	11.149127	16.000809	1.598721	26.054513	7.542184	0.549538	1.1987265	0.409606	0.369413	0.655236	5.995747	2.578157	1.671833	2.097877	1.941967	4.955896	1.798538	2.138728	3.822887	6.575697	10.6468515	2.161145	10.969752	3.885906	1.9077030000000001	0.827624	1.941817	39.712290499999995	6.808001	3.176243	10.659014	5.009628	6.316402	1.579741	3.012092	2.281139	1.823227	1.648667	5.557479	1.892613	13.725683	2.958132	13.405805
s_SUB_15_2	4.009502	6.892061	2.522412	2.476437	12.010397	22.408196	51.603568	17.064991	11.789643	14.03015	6.742937	8.130574	14.562337	8.163498	9.540781	6.906532	17.914464	3.923541	7.102484	12.717236	5.549326	7.006153	7.348237	14.587217	10.40436	13.208048	30.671444	2.147499	1.7759749999999999	2.669695	3.456723	1.578684	2.631584	8.663459	14.044172	5.6267375	9.4790445	8.271987	32.055485	7.688078	18.899496	18.6842625	26.32815	39.797821	14.837718	45.678436500000004	10.15832	6.611683	4.159166	3.344337	35.990232	12.658793	12.959389	29.306003	12.350991	8.776124	5.449358500000001	72.307469	20.581298	16.49022	4.948482	30.482284	11.901906	51.901356500000006	15.608856	18.435852
s_PL_4_8	2.918591	0.0	1.894813	1.600954	0.0	0.098267	0.0	0.0	0.0	0.0	0.640453	0.0	0.381474	0.0	0.0	0.156848	1.194436	0.0	0.0	0.124839	0.0	0.0	0.0	0.0	0.0	17.33418	0.272495	6.099436	1.388502	4.101602	1.267146	1.060098	3.1007135000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.428375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087241	0.0	0.0	0.0	0.0	0.0
